#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.6209      1.6209           0
           2     1.59322     1.60706  0.00978865
           3     1.60406     1.60606  0.00657665
           4     1.60042     1.60465  0.00508133
           5     1.59785     1.60329  0.00424327
           6     1.58575     1.60037  0.00443015
           7     1.56141      1.5948   0.0064008
           8      1.6057     1.59616  0.00574378
           9     1.63622     1.60061  0.00660875
          10     1.57491     1.59804  0.00642817
          11     1.58524     1.59688  0.00594826
          12     1.62773     1.59945  0.00598238
          13     1.62157     1.60115  0.00575907
          14     1.58397     1.59992  0.00547696
          15     1.58374     1.59885  0.00521708
          16     1.60495     1.59923  0.00490493
          17     1.58632     1.59847   0.0046748
          18     1.60361     1.59875  0.00442379
          19     1.60848     1.59926  0.00422045
          20       1.615     1.60005  0.00408209
